"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2026","Northern Kentucky",70.3,187,69.783,200,103.704,208,104.313,233,109.216,204,108.901,188,-4.58782,209
"2026","Northwestern",67.3208,293,68.2207,275,122.067,43,117.307,49,99.3089,91,101.498,70,15.8083,47
"2026","Northwestern St.",66.3931,319,66.9249,338,99.6928,264,104.949,214,128.066,360,116.296,343,-11.3472,301
"2026","Notre Dame",67.4357,288,67.6521,307,115.414,87,113.354,79,100.092,95,101.681,72,11.673,73
"2026","Oakland",72.1339,118,71.3801,111,108.498,151,113.353,80,123.505,347,112.243,279,1.11084,140
"2026","Ohio",71.1411,159,71.5367,102,99.8958,261,105.818,204,118.581,317,111.553,258,-5.73469,225
"2026","Ohio St.",72.0813,120,70.6602,142,127.408,13,119.729,29,92.4861,31,100.08,50,19.6485,30
"2026","Oklahoma",71.4187,144,69.2702,218,123.95,30,118.891,35,104.135,135,105.33,113,13.5613,62
"2026","Oklahoma St.",79.6979,2,75.9688,4,116.956,75,115.006,69,93.1453,36,100.759,60,14.2465,55
"2026","Old Dominion",68.7321,241,69.0216,230,105.987,185,107.339,169,115.385,283,112.389,286,-5.05014,218
"2026","Oral Roberts",75.8938,25,72.6885,53,103.252,218,106.202,194,118.116,310,114.538,328,-8.33629,270
"2026","Oregon",70.2396,192,70.3489,161,107.167,165,113.284,82,106.358,168,102.804,89,10.4793,86
"2026","Oregon St.",66.9189,307,66.2028,350,103.553,211,107.468,163,108.289,189,110.486,227,-3.01791,190
"2026","Pacific",67.7958,273,68.4026,268,109.161,145,108.512,145,100.914,105,106.591,143,1.92162,135
"2026","Penn",74.6094,50,72.7915,48,109.798,137,108.48,146,110.687,231,113.292,306,-4.81205,212
"2026","Penn St.",65.8982,336,68.2021,276,124.552,27,116.066,60,107.298,180,108.323,175,7.74223,99
"2026","Pepperdine",69.266,228,69.7519,203,102.456,230,104.259,234,106.352,167,108.735,183,-4.47677,208
"2026","Pittsburgh",66.3036,320,66.2587,347,108.592,150,111.255,109,100.63,101,103.586,97,7.66898,100
"2026","Portland",73.9641,63,71.3306,113,99.9553,258,101.782,284,105.684,157,111.648,261,-9.86682,287
"2026","Portland St.",73.5031,76,72.5872,54,105.429,189,105.954,203,106.042,161,106.671,145,-0.717583,157
